Locale,File,Type,Title,Description,Canonical,AlternateZh,AlternateEn,JsonLdCount,VisibleGeoAnswer
"zh-CN","解决方案中心—快速原型子页面.html","marketing","快速原型制造方案 | 敏捷智造","","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E5%BF%AB%E9%80%9F%E5%8E%9F%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E5%BF%AB%E9%80%9F%E5%8E%9F%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/solution-rapid-prototyping.html","",""
"zh-CN","解决方案中心—图生3D模型子页面.html","marketing","图生3D模型 | 敏捷智造","","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E5%9B%BE%E7%94%9F3D%E6%A8%A1%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E5%9B%BE%E7%94%9F3D%E6%A8%A1%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/solution-image-to-3d.html","",""
"zh-CN","解决方案中心—文生3D模型子页面.html","marketing","文生3D模型 | 敏捷智造","","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E6%96%87%E7%94%9F3D%E6%A8%A1%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E6%96%87%E7%94%9F3D%E6%A8%A1%E5%9E%8B%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/solution-text-to-3d.html","",""
"zh-CN","解决方案中心—智能报价子页面.html","marketing","智能报价 | 敏捷智造","","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E6%99%BA%E8%83%BD%E6%8A%A5%E4%BB%B7%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94%E6%99%BA%E8%83%BD%E6%8A%A5%E4%BB%B7%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/solution-instant-quoting.html","",""
"zh-CN","解决方案中心—DFM可制造性检查子页面.html","marketing","DFM可制造性检查 | 敏捷智造","","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94DFM%E5%8F%AF%E5%88%B6%E9%80%A0%E6%80%A7%E6%A3%80%E6%9F%A5%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88%E4%B8%AD%E5%BF%83%E2%80%94DFM%E5%8F%AF%E5%88%B6%E9%80%A0%E6%80%A7%E6%A3%80%E6%9F%A5%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/solution-dfm.html","",""
"zh-CN","能力中心—3D打印服务子页面.html","marketing","3D打印服务 | 敏捷智造","敏捷智造3D打印服务：适合快速验证、复杂结构和小批量增材制造","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%943D%E6%89%93%E5%8D%B0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%943D%E6%89%93%E5%8D%B0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-3d-printing.html","1",""
"zh-CN","能力中心—薄板加工子页面.html","marketing","薄板加工 | 敏捷智造","敏捷智造薄板加工：精密切割、折弯与结构件协同制造","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%96%84%E6%9D%BF%E5%8A%A0%E5%B7%A5%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%96%84%E6%9D%BF%E5%8A%A0%E5%B7%A5%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-sheet-metal.html","1",""
"zh-CN","能力中心—表面处理部分.html","marketing","表面处理中心 | 敏捷智造","敏捷智造表面处理：围绕外观、防腐、耐磨、导电、标识和清洁稳定性选择合适的后处理方案。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E9%83%A8%E5%88%86.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E9%83%A8%E5%88%86.html","./EN/capabilities-finishes.html","1",""
"zh-CN","能力中心—表面处理部分子页面.html","marketing","阳极氧化表面处理 | 敏捷智造","敏捷智造阳极氧化表面处理页面说明铝合金外观件、结构件和需要耐蚀增强的功能零件在颜色、膜厚、遮蔽和检测方面的制造关注点。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-surface-finishing.html","1",""
"zh-CN","能力中心—不锈钢材料子页面.html","marketing","不锈钢材料 | 敏捷智造","敏捷智造不锈钢：适用于耐腐蚀、耐清洁和较高结构稳定性的金属零件。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E4%B8%8D%E9%94%88%E9%92%A2%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E4%B8%8D%E9%94%88%E9%92%A2%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/material-stainless-steel.html","1",""
"zh-CN","能力中心—材料部分.html","marketing","材料中心 | 敏捷智造","敏捷智造材料：根据零件强度、重量、耐腐蚀、导电导热、绝缘与表面处理需求选择合适材料。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9D%90%E6%96%99%E9%83%A8%E5%88%86.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9D%90%E6%96%99%E9%83%A8%E5%88%86.html","./EN/capabilities-materials.html","1",""
"zh-CN","能力中心—材料部分子页面.html","marketing","铝合金材料 | 敏捷智造","敏捷智造铝合金材料页面用于说明铝合金在重量、强度、可加工性与表面处理适配性方面的制造应用，适合结构件、外观件和散热零件评估。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9D%90%E6%96%99%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9D%90%E6%96%99%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-materials.html","1",""
"zh-CN","能力中心—电镀表面处理子页面.html","marketing","电镀表面处理 | 敏捷智造","敏捷智造电镀：适合金属零件的防护、装饰、导电和耐磨功能增强。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E7%94%B5%E9%95%80%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E7%94%B5%E9%95%80%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/finish-electroplating.html","1",""
"zh-CN","能力中心—定制加工服务子页面.html","marketing","定制加工服务 | 敏捷智造","敏捷智造定制加工服务：面向多工艺、多零件项目的一站式制造协同","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%AE%9A%E5%88%B6%E5%8A%A0%E5%B7%A5%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%AE%9A%E5%88%B6%E5%8A%A0%E5%B7%A5%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-custom-manufacturing.html","1",""
"zh-CN","能力中心—钝化处理表面处理子页面.html","marketing","钝化处理表面处理 | 敏捷智造","敏捷智造钝化处理：适合不锈钢零件在清洁、潮湿或轻腐蚀环境下的表面稳定处理。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%92%9D%E5%8C%96%E5%A4%84%E7%90%86%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%92%9D%E5%8C%96%E5%A4%84%E7%90%86%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/finish-passivation.html","1",""
"zh-CN","能力中心—发黑处理表面处理子页面.html","marketing","发黑处理表面处理 | 敏捷智造","敏捷智造发黑处理：适合钢件的低膜厚深色外观和基础防锈处理。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%8F%91%E9%BB%91%E5%A4%84%E7%90%86%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%8F%91%E9%BB%91%E5%A4%84%E7%90%86%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/finish-black-oxide.html","1",""
"zh-CN","能力中心—粉末喷涂表面处理子页面.html","marketing","粉末喷涂表面处理 | 敏捷智造","敏捷智造粉末喷涂：适合批量钣金件和外观结构件的耐久涂装方案。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E7%B2%89%E6%9C%AB%E5%96%B7%E6%B6%82%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E7%B2%89%E6%9C%AB%E5%96%B7%E6%B6%82%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/finish-powder-coating.html","1",""
"zh-CN","能力中心—服务部分.html","marketing","服务 | 敏捷智造","敏捷智造服务：围绕原型、小批量和多工艺项目，协同完成工艺评估、生产执行、质量文件和交付跟踪。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9C%8D%E5%8A%A1%E9%83%A8%E5%88%86.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%9C%8D%E5%8A%A1%E9%83%A8%E5%88%86.html","./EN/capabilities-services.html","1",""
"zh-CN","能力中心—复合材料材料子页面.html","marketing","复合材料材料 | 敏捷智造","敏捷智造复合材料：按层合方向、树脂体系和加工边界选择的非均质材料。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%A4%8D%E5%90%88%E6%9D%90%E6%96%99%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%A4%8D%E5%90%88%E6%9D%90%E6%96%99%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/material-composites.html","1",""
"zh-CN","能力中心—工程塑料材料子页面.html","marketing","工程塑料材料 | 敏捷智造","敏捷智造工程塑料：用于轻量化、绝缘、低摩擦、耐化学或外观样件的非金属材料。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E7%A8%8B%E5%A1%91%E6%96%99%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E7%A8%8B%E5%A1%91%E6%96%99%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/material-engineering-plastics.html","1",""
"zh-CN","能力中心—工艺部分.html","marketing","工艺 | 多种先进加工工艺 | 敏捷智造","敏捷智造工艺能力覆盖 CNC 加工、钣金、水刀、激光切割、注塑、聚氨酯铸造、金属3D打印和微纳3D打印，支持从原型到小批量制造。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E8%89%BA%E9%83%A8%E5%88%86.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E8%89%BA%E9%83%A8%E5%88%86.html","./EN/capabilities-processes.html","1",""
"zh-CN","能力中心—工艺部分子页面.html","marketing","数控加工 | 敏捷智造","敏捷智造数控加工：多轴铣削、车削与复杂结构加工","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E8%89%BA%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%B7%A5%E8%89%BA%E9%83%A8%E5%88%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-cnc-machining.html","1",""
"zh-CN","能力中心—激光打标表面处理子页面.html","marketing","激光打标表面处理 | 敏捷智造","敏捷智造激光打标：适合需要标识、追溯、装配方向或品牌信息的零件。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%BF%80%E5%85%89%E6%89%93%E6%A0%87%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%BF%80%E5%85%89%E6%89%93%E6%A0%87%E8%A1%A8%E9%9D%A2%E5%A4%84%E7%90%86%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/finish-laser-marking.html","1",""
"zh-CN","能力中心—激光切割子页面.html","marketing","激光切割 | 敏捷智造","敏捷智造激光切割：高速高精度板材轮廓加工","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%BF%80%E5%85%89%E5%88%87%E5%89%B2%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%BF%80%E5%85%89%E5%88%87%E5%89%B2%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-laser-cutting.html","1",""
"zh-CN","能力中心—金属3D打印子页面.html","marketing","金属3D打印 | 敏捷智造","敏捷智造金属3D打印：复杂金属结构快速增材成型","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E3D%E6%89%93%E5%8D%B0%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E3D%E6%89%93%E5%8D%B0%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-metal-3d-printing.html","1",""
"zh-CN","能力中心—金属冲压服务子页面.html","marketing","金属冲压服务 | 敏捷智造","敏捷智造金属冲压服务：适合薄板件批量成形的金属冲压服务","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E5%86%B2%E5%8E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E5%86%B2%E5%8E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-metal-stamping.html","1",""
"zh-CN","能力中心—金属锻造服务子页面.html","marketing","金属锻造服务 | 敏捷智造","敏捷智造金属锻造服务：面向承力件和高强度零件的锻造服务","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E9%94%BB%E9%80%A0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E9%94%BB%E9%80%A0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-metal-forging.html","1",""
"zh-CN","能力中心—金属铸造服务子页面.html","marketing","金属铸造服务 | 敏捷智造","敏捷智造金属铸造服务：适合复杂金属毛坯和批量结构件的铸造服务","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E9%93%B8%E9%80%A0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%87%91%E5%B1%9E%E9%93%B8%E9%80%A0%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-metal-casting.html","1",""
"zh-CN","能力中心—聚氨酯铸造子页面.html","marketing","聚氨酯铸造 | 敏捷智造","敏捷智造聚氨酯铸造：小批量弹性体与复模件制造","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%81%9A%E6%B0%A8%E9%85%AF%E9%93%B8%E9%80%A0%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%81%9A%E6%B0%A8%E9%85%AF%E9%93%B8%E9%80%A0%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/capability-urethane-casting.html","1",""
"zh-CN","能力中心—快速手板模型服务子页面.html","marketing","快速手板模型服务 | 敏捷智造","敏捷智造快速手板模型服务：帮助设计尽快从模型进入实物验证","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%BF%AB%E9%80%9F%E6%89%8B%E6%9D%BF%E6%A8%A1%E5%9E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E5%BF%AB%E9%80%9F%E6%89%8B%E6%9D%BF%E6%A8%A1%E5%9E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-rapid-prototypes.html","1",""
"zh-CN","能力中心—铝合金材料子页面.html","marketing","铝合金材料 | 敏捷智造","敏捷智造铝合金：兼顾重量、强度、可加工性与表面处理适配性的常用金属材料。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%93%9D%E5%90%88%E9%87%91%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E9%93%9D%E5%90%88%E9%87%91%E6%9D%90%E6%96%99%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/material-aluminum-alloys.html","1",""
"zh-CN","能力中心—模具成型服务子页面.html","marketing","模具成型服务 | 敏捷智造","敏捷智造模具成型服务：从 DFM、开模试模到批量塑胶件交付","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%A8%A1%E5%85%B7%E6%88%90%E5%9E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E6%A8%A1%E5%85%B7%E6%88%90%E5%9E%8B%E6%9C%8D%E5%8A%A1%E5%AD%90%E9%A1%B5%E9%9D%A2.html","./EN/service-molding.html","1",""
"zh-CN","能力中心—能力中心部分.html","marketing","能力中心 | 工艺、服务、材料与表面处理 | 敏捷智造","敏捷智造能力中心汇总制造工艺、加工服务、材料选择与表面处理方案，帮助用户按零件结构、性能要求、交付阶段和质量关注点快速进入对应能力页面。","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E9%83%A8%E5%88%86.html","./%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E2%80%94%E8%83%BD%E5%8A%9B%E4%B8%AD%E5%BF%83%E9%83%A8%E5%88%86.html","./EN/capabilities.html","1",""
